,Skew²,Kurtosis,Alpha,Beta,Entity
0,2.6654619758106994,6.809948229481148,1.367474022680918,-1.8512974399558906,sol3ghz.dat
0,0.26166269512516355,3.392487547167702,0.7405071250229631,-1.5374995407174086,surftemp504.txt
0,0.009956788702605034,1.0640425787562824,1.9035809434301312,-1.0298435990771775,covidNewZealand.dat
0,0.07722552073593475,2.4941128974122466,1.424877027635215,-2.2402699404134157,8192
0,0.6099613183979152,2.7701416481230727,1.5098079155187532,-1.627816851623791,8192
1,0.12587752405309963,2.312798593345256,1.480620955602277,-2.004775140755512,8192
1,0.00027709898948928894,2.0051424733808103,1.4846643582134011,-1.88567730267551,8192
1,0.020225477269051422,1.8226720170457131,1.5144046276758867,-1.9146898229768543,8192
1,0.5569392877608995,2.7196133554995083,1.5081624118247152,-2.0878298095398042,8192
1,0.02425877560507068,1.9752171378054417,1.5085952927811401,-2.0187527746267646,8192
1,0.26102714565660357,2.358670084735459,1.5043673741803674,-2.350316828975051,8192
1,0.24222106663048154,1.8622911519733811,1.4758304225194172,-1.8689766788840056,8192
1,0.029811823889634083,2.114801152564802,1.4959654400637827,-2.1279408361865864,8192
1,0.00030341703788605107,2.9547390273239866,0.5379528117485056,-0.21539885312608753,0
1,0.0005555205555495974,2.989271044627349,0.5046709726785643,0.2144899321207565,0
1,0.0003572985336666127,2.955732618667055,0.4989879388164355,0.10694074648723362,0
1,0.004480308889159235,2.839803768891935,1.0042584078764358,-1.1119728524554497,1
1,0.020798016772403727,2.9308614666576807,1.005964209651645,-1.1866848868664974,1
1,0.0029885714533813205,2.950527982900636,1.0046071087188282,-0.9074720974361017,1
1,0.13291983182628583,2.0879256555576906,1.44169682517405,-1.9102405202279655,2
1,0.14308616462033713,2.8813987713031133,1.4455135426188959,-2.0542192572221025,2
1,0.002386785674520278,2.1732854493270786,1.534202946086093,-1.7777168108075863,2
1,1119.096253977002,1738.4787913204145,0.7697314063367724,-0.30324377411047354,Exogenous
1,1446.9614679646681,2156.2481516865523,0.7760501130438588,-0.9449356205731311,Exogenous
1,873.8284096174617,1407.7692323700844,0.7972058793450834,-0.725299560925637,Exogenous
1,1434.946952428478,2141.3634097110344,0.7593365935338658,-0.8028511841450717,Exogenous
1,820.780418154545,1333.796522995156,0.8310278145272316,-0.8525350784380178,Exogenous
1,36.562157601537656,71.64762597523466,0.9082907649932803,-0.8580360950642815,Endogenous
1,30.80829870712239,60.536668299200954,0.9340179360404278,-0.8691580388946955,Endogenous
1,27.829870951982333,54.788083555290655,0.9308603695995005,-0.7833317812186262,Endogenous
1,31.748358040343582,62.35178932846014,0.9134187311224091,-0.706082551178439,Endogenous
1,5.698814876156997,12.808243091439039,0.9553147786017888,-0.7183127154485727,Endogenous
1,0.07088717970505086,1.6689401627290348,0.37100513687387476,0.1553943750292764,Logistic
1,0.0323894292959042,1.5797070939497249,0.39361494878342457,0.1322771761116748,Logistic
1,0.035112094423548124,1.5910311842313003,0.4165335129407627,0.37189737736101436,Logistic
1,0.04158474574603796,1.630708499780554,0.2852999667001552,-1.2536482138765843,Logistic
1,0.009685108726724028,1.5558702821519383,0.4719767057642144,0.025654766041614208,Logistic
1,0.11223151773336672,1.9181273966461214,0.012858389630065048,-3.2677410535427165,Henon
1,0.3847918161672161,2.304800492823798,0.310994587803832,0.10556056379052858,Henon
1,0.22856210685484413,2.1043723385688624,0.26862509370618287,0.2569806074464347,Henon
1,0.21449836057782518,2.0362156657797597,0.2706280126964903,-0.16153132465102238,Henon
1,0.24178424914508834,2.099599993987162,0.257059091111241,0.09260303899505984,Henon
